,genename,Sample_46-Belz_merged,Sample_46-HIF1alpha_278_299,Sample_46-HIF2alpha_266_311,Sample_46-WT_207_370,Sample_55-Belz_242_335,Sample_55-HIF1alpha_230_347,Sample_55-HIF2alpha_218_359,Sample_55-WT_254_323,Sample_59-Belz_194_383,Sample_59-HIF1alpha_277_300,Sample_59-HIF2alpha_265_312,Sample_59-WT_206_371,Sample_60-Belz_241_336,Sample_60-HIF1alpha_229_348,Sample_60-HIF2alpha_217_360,Sample_60-WT_253_324,LRS_36_HIF1a_KO_327_250,LRS_36_HIF2a_KO_315_262,LRS_36_NC_303_274,LRS_36_NT_339_238,LRS_38_HIF1a_KO_374_203,LRS_38_NC_350_227,LRS_38_NT_291_286,LRS_42_HIF1a_KO_326_251,LRS_42_HIF2a_KO_314_263,LRS_42_NC_302_275,LRS_42_NT_338_239,LRS_43_HIF1a_KO_373_204,LRS_43_HIF2a_KO_361_216,LRS_43_NC_349_228,LRS_43_NT_290_287,LRS-38_HIF2a_KO_362_215
16269,AL354712.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16270,AL354714.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16271,AL354714.2,20.76,1,2,0,3.77,3,3.01,5,1,2,2,1,2,2,2,7,25.14,10.01,7.01,23.02,5.01,8.01,4.01,5,8.01,5.01,5.01,10.98,3,7.02,9.09,4.75
16272,AL354714.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
16273,AL354714.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16274,AL354714.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16275,AL354718.1,21.21,12.49,13.59,14.3,16.67,5,8.64,12.47,3.81,6.71,13.63,8.94,8,4.79,7.62,9.96,85.91,49.05,38.98,112.13,30.16,23.7,33.79,19,29.31,34.5,27.05,25,37.67,40.82,46.81,38.96
16276,AL354718.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16277,AL354718.3,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,12.58,2.88,2.29,6.99,2,1.37,0,0,2,0,4.82,5.42,2,3.57,5.6,0.7
16278,AL354719.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16279,AL354719.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
16280,AL354726.1,0,0,0,1,1,1,0,0,0,0,1,0,2,1,0,1,0,1,0,2,0,0,1,0,3,0,1,0,1,1,2,0
16281,AL354732.1,3,1,0,4,2,0,1,0,0,1,2,0,2,0,1,0,6,3,1,2,0,3,3,3,1,1,0,2,1,2,3,1
16282,AL354733.1,1.28,0,0,0,1,0,0,0,0,0,0,0,0,0.84,0,0,0,0,0,1,2,0,1,0,2,1,0,1.38,0,0,0,0
16283,AL354733.2,1,2.04,5.29,0,0,0,0,0,1,0,0,0,0,1.27,1,1,5.08,3,6,6,2,1,2,4.81,3,2,6,3,0,7.08,6,4.23
16284,AL354733.3,93,32,34,45,38,30,38,31,35,30,31,27,28,13,23,37,62.88,21.53,15.12,45.74,18.28,17.49,21.59,17.66,25.98,17.51,22.82,16.15,24.52,62.26,38.38,21.41
16285,AL354740.1,475.81,184.89,158.84,152.88,243.31,141.72,142.38,171.1,255.57,237.74,167.98,168.68,263.23,260.15,159.94,258.7,6939.41,2394.19,1325.03,3643.32,2294.89,1218.67,1355.86,2006.88,1488.7,1050.63,1641.35,1236.51,1317.65,1272.87,1181.92,1685.07
